,Categoría de Defunción,Diferencia
0,Enfermedades del aparato respiratorio,25857.0
1,COVID-19,23752.0
2,Enfermedades del aparato circulatorio,12985.0
3,Enfermedades del sistema genitourinario ,5775.0
4,Enfermedades infecciosas y parasitarias ,3817.0
5,Enfermedades del aparato digestivo,3554.0
6,Afecciones originadas en el periodo perinatal ,2282.0
7,"Enfermedades endocrinas, nutricionales y metabólicas ",2216.0
8,Enfermedades de la piel y del tejido subcutáneo ,1611.0
9,Accidentes y causas externas,1264.0
10,Tumores ,1218.0
11,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",1204.0
12,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,1183.0
13,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",578.0
14,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",526.0
15,Trastornos mentales,285.0
16,Enfermedades del sistema osteomuscular y del tejido conjuntivo,141.0
17,"Embarazo, parto y puerperio ",104.0
