,Grupo etario,sexo,Categoría de Defunción,Total
0,0 a 14,femenino,Trastornos mentales,30.0
1,0 a 14,femenino,"Embarazo, parto y puerperio ",34.0
2,0 a 14,femenino,Enfermedades de la piel y del tejido subcutáneo ,46.0
3,0 a 14,femenino,COVID-19,160.0
4,0 a 14,femenino,Enfermedades del sistema osteomuscular y del tejido conjuntivo,171.0
5,0 a 14,masculino,Trastornos mentales,15.0
6,0 a 14,masculino,Enfermedades de la piel y del tejido subcutáneo ,56.0
7,0 a 14,masculino,Enfermedades del sistema osteomuscular y del tejido conjuntivo,113.0
8,0 a 14,masculino,COVID-19,153.0
9,0 a 14,masculino,Enfermedades del sistema genitourinario ,415.0
10,15 a 34,femenino,Trastornos mentales,133.0
11,15 a 34,femenino,Enfermedades de la piel y del tejido subcutáneo ,263.0
12,15 a 34,femenino,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",525.0
13,15 a 34,femenino,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",719.0
14,15 a 34,femenino,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1002.0
15,15 a 34,masculino,Enfermedades de la piel y del tejido subcutáneo ,268.0
16,15 a 34,masculino,Enfermedades del sistema osteomuscular y del tejido conjuntivo,334.0
17,15 a 34,masculino,Trastornos mentales,377.0
18,15 a 34,masculino,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",551.0
19,15 a 34,masculino,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",915.0
20,35 a 54,femenino,Trastornos mentales,441.0
21,35 a 54,femenino,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",461.0
22,35 a 54,femenino,Enfermedades de la piel y del tejido subcutáneo ,865.0
23,35 a 54,femenino,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",1095.0
24,35 a 54,femenino,"Embarazo, parto y puerperio ",1582.0
25,35 a 54,masculino,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",443.0
26,35 a 54,masculino,Enfermedades del sistema osteomuscular y del tejido conjuntivo,818.0
27,35 a 54,masculino,Enfermedades de la piel y del tejido subcutáneo ,1017.0
28,35 a 54,masculino,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",1048.0
29,35 a 54,masculino,Trastornos mentales,2973.0
30,55 a 74,femenino,"Embarazo, parto y puerperio ",2.0
31,55 a 74,femenino,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",405.0
32,55 a 74,femenino,Trastornos mentales,2365.0
33,55 a 74,femenino,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",2997.0
34,55 a 74,femenino,Enfermedades de la piel y del tejido subcutáneo ,3896.0
35,55 a 74,masculino,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",408.0
36,55 a 74,masculino,Enfermedades del sistema osteomuscular y del tejido conjuntivo,2279.0
37,55 a 74,masculino,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",3078.0
38,55 a 74,masculino,Enfermedades de la piel y del tejido subcutáneo ,4549.0
39,55 a 74,masculino,Trastornos mentales,6628.0
40,75 y mas,femenino,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",225.0
41,75 y mas,femenino,Enfermedades del sistema osteomuscular y del tejido conjuntivo,4963.0
42,75 y mas,femenino,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",7611.0
43,75 y mas,femenino,Enfermedades de la piel y del tejido subcutáneo ,16591.0
44,75 y mas,femenino,Trastornos mentales,22996.0
45,75 y mas,masculino,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",164.0
46,75 y mas,masculino,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1960.0
47,75 y mas,masculino,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",4686.0
48,75 y mas,masculino,Enfermedades de la piel y del tejido subcutáneo ,7097.0
49,75 y mas,masculino,Trastornos mentales,10795.0
