,Provincia,Grupo etario,Habitantes con Cobertura en 2010,Habitantes sin Cobertura en 2010,Habitantes con Cobertura en 2022,Habitantes sin Cobertura en 2022
0,BUENOS AIRES,0 a 14,2230507.0,1643068.0,2183542.0,1645128.0
1,BUENOS AIRES,15 a 34,2850048.0,2145986.0,2832382.0,2418209.0
2,BUENOS AIRES,35 a 54,2423430.0,1255181.0,3068766.0,1533103.0
3,BUENOS AIRES,55 a 74,1889938.0,452068.0,2349377.0,490794.0
4,BUENOS AIRES,75 y mas,709167.0,20078.0,863446.0,24159.0
5,CABA,0 a 14,359438.0,112701.0,368291.0,91585.0
6,CABA,15 a 34,678543.0,213498.0,670884.0,207783.0
7,CABA,35 a 54,609196.0,129277.0,740852.0,142984.0
8,CABA,55 a 74,497909.0,50418.0,558288.0,57841.0
9,CABA,75 y mas,237178.0,3923.0,252221.0,4725.0
10,CATAMARCA,0 a 14,59291.0,48085.0,51269.0,44166.0
11,CATAMARCA,15 a 34,63045.0,60119.0,61478.0,79985.0
12,CATAMARCA,35 a 54,53975.0,26008.0,71860.0,39351.0
13,CATAMARCA,55 a 74,36474.0,8328.0,53156.0,9868.0
14,CATAMARCA,75 y mas,11561.0,814.0,15947.0,545.0
15,CHACO,0 a 14,102599.0,217824.0,102688.0,170119.0
16,CHACO,15 a 34,122826.0,240413.0,132961.0,246599.0
17,CHACO,35 a 54,109327.0,113854.0,147272.0,131086.0
18,CHACO,55 a 74,83587.0,35864.0,120215.0,37716.0
19,CHACO,75 y mas,26471.0,2490.0,34216.0,1731.0
20,CHUBUT,0 a 14,97999.0,37633.0,93913.0,38566.0
21,CHUBUT,15 a 34,117714.0,57985.0,109379.0,71224.0
22,CHUBUT,35 a 54,90986.0,30075.0,123727.0,41396.0
23,CHUBUT,55 a 74,50733.0,11489.0,76356.0,12067.0
24,CHUBUT,75 y mas,13867.0,1157.0,21997.0,829.0
25,CORRIENTES,0 a 14,133330.0,158348.0,151849.0,139733.0
26,CORRIENTES,15 a 34,142170.0,190901.0,169632.0,231873.0
27,CORRIENTES,35 a 54,117670.0,95910.0,169460.0,120537.0
28,CORRIENTES,55 a 74,90910.0,32704.0,145224.0,35112.0
29,CORRIENTES,75 y mas,29390.0,1924.0,44107.0,2144.0
30,CÓRDOBA,0 a 14,483415.0,320427.0,466540.0,340070.0
31,CÓRDOBA,15 a 34,648815.0,424090.0,661912.0,519316.0
32,CÓRDOBA,35 a 54,506935.0,250234.0,656594.0,337512.0
33,CÓRDOBA,55 a 74,425683.0,85973.0,530660.0,101351.0
34,CÓRDOBA,75 y mas,156196.0,4917.0,193796.0,4313.0
35,ENTRE RÍOS,0 a 14,184072.0,141253.0,179626.0,135079.0
36,ENTRE RÍOS,15 a 34,219889.0,173766.0,222009.0,213294.0
37,ENTRE RÍOS,55 a 74,150735.0,31662.0,197748.0,35180.0
38,ENTRE RÍOS,75 y mas,51641.0,1797.0,67341.0,1236.0
39,FORMOSA,0 a 14,55378.0,111921.0,51829.0,101096.0
40,FORMOSA,15 a 34,61601.0,114143.0,62283.0,137589.0
41,FORMOSA,35 a 54,58095.0,55298.0,70127.0,74206.0
42,FORMOSA,55 a 74,41812.0,18767.0,63969.0,23914.0
43,JUJUY,0 a 14,101434.0,94920.0,94779.0,94721.0
44,JUJUY,15 a 34,104957.0,128860.0,102637.0,156853.0
45,JUJUY,35 a 54,86172.0,59593.0,118759.0,93875.0
46,JUJUY,55 a 74,60400.0,19480.0,89634.0,26938.0
47,JUJUY,75 y mas,16561.0,1973.0,29308.0,1860.0
48,LA PAMPA,0 a 14,48234.0,31040.0,46667.0,31185.0
49,LA PAMPA,15 a 34,58628.0,40142.0,59008.0,46598.0
50,LA PAMPA,35 a 54,52590.0,23003.0,66492.0,28555.0
51,LA PAMPA,55 a 74,42197.0,8271.0,52965.0,8617.0
52,LA PAMPA,75 y mas,14882.0,339.0,18925.0,181.0
53,LA RIOJA,0 a 14,52140.0,41278.0,43623.0,41094.0
54,LA RIOJA,15 a 34,63423.0,55879.0,59914.0,72222.0
55,LA RIOJA,35 a 54,50673.0,22840.0,62418.0,36294.0
56,LA RIOJA,55 a 74,31429.0,6667.0,45254.0,8768.0
57,LA RIOJA,75 y mas,9374.0,626.0,12380.0,486.0
58,MENDOZA,0 a 14,252894.0,193189.0,252583.0,216881.0
59,MENDOZA,15 a 34,315090.0,258806.0,309075.0,308280.0
60,MENDOZA,35 a 54,248413.0,135594.0,328752.0,185072.0
61,MENDOZA,55 a 74,205960.0,51842.0,270388.0,57542.0
62,MENDOZA,75 y mas,74359.0,2223.0,99607.0,2593.0
63,MISIONES,0 a 14,182233.0,176390.0,155196.0,185765.0
64,MISIONES,15 a 34,187124.0,183131.0,180884.0,240199.0
65,MISIONES,35 a 54,141921.0,88067.0,175515.0,126183.0
66,MISIONES,55 a 74,86648.0,29321.0,131859.0,39994.0
67,MISIONES,75 y mas,24004.0,2470.0,35991.0,1761.0
68,NEUQUÉN,0 a 14,92015.0,54053.0,105193.0,54441.0
69,NEUQUÉN,35 a 54,93716.0,41743.0,140279.0,57192.0
70,NEUQUÉN,55 a 74,49387.0,15405.0,85731.0,19111.0
71,NEUQUÉN,75 y mas,12665.0,1116.0,23262.0,913.0
72,RÍO NEGRO,0 a 14,104633.0,61345.0,102102.0,62700.0
73,RÍO NEGRO,15 a 34,122787.0,89274.0,120176.0,107104.0
74,RÍO NEGRO,35 a 54,103814.0,49251.0,136704.0,66804.0
75,RÍO NEGRO,55 a 74,68664.0,18203.0,98286.0,21028.0
76,RÍO NEGRO,75 y mas,20097.0,1468.0,31657.0,1136.0
77,SALTA,0 a 14,175771.0,201654.0,163833.0,199030.0
78,SALTA,15 a 34,184458.0,229790.0,193359.0,282652.0
79,SALTA,35 a 54,143828.0,108675.0,197612.0,153589.0
80,SALTA,55 a 74,100793.0,34510.0,145427.0,48143.0
81,SALTA,75 y mas,31260.0,2551.0,47388.0,3192.0
82,SAN JUAN,0 a 14,96659.0,98713.0,97265.0,105165.0
83,SAN JUAN,35 a 54,88598.0,58942.0,116483.0,84782.0
84,SAN JUAN,55 a 74,71798.0,21425.0,96472.0,25060.0
85,SAN LUIS,0 a 14,63909.0,56799.0,70794.0,49746.0
86,SAN LUIS,15 a 34,73539.0,65257.0,85175.0,88679.0
87,SAN LUIS,35 a 54,62811.0,36124.0,94724.0,45943.0
88,SAN LUIS,55 a 74,46613.0,11893.0,68273.0,14990.0
89,SAN LUIS,75 y mas,14106.0,674.0,21762.0,462.0
90,SANTA CRUZ,0 a 14,65534.0,10901.0,70684.0,93158.0
