,Provincia,Cantidad de Establecimientos de Salud,Tipo de Financiamiento
0,BUENOS AIRES,200,privado
1,BUENOS AIRES,130,estatal
2,CABA,78,privado
3,SANTA FE,59,privado
4,CABA,34,estatal
5,TIERRA DEL FUEGO,2,estatal
6,SANTA FE,16,estatal
7,NEUQUÉN,8,privado
8,LA PAMPA,3,estatal
9,SALTA,23,privado
10,CATAMARCA,8,privado
11,RÍO NEGRO,11,privado
12,CÓRDOBA,31,estatal
13,CORRIENTES,11,estatal
14,CÓRDOBA,81,privado
15,TUCUMÁN,35,privado
16,SANTIAGO DEL ESTERO,5,estatal
17,CHACO,5,estatal
18,RÍO NEGRO,4,estatal
19,MENDOZA,25,privado
20,SANTA CRUZ,3,privado
21,CHACO,28,privado
22,CHUBUT,7,privado
23,LA PAMPA,7,privado
24,LA RIOJA,6,privado
25,TUCUMÁN,7,estatal
26,SANTIAGO DEL ESTERO,20,privado
27,CHUBUT,4,estatal
28,CATAMARCA,4,estatal
29,MENDOZA,12,estatal
30,CORRIENTES,22,privado
31,ENTRE RÍOS,7,estatal
32,ENTRE RÍOS,12,privado
33,JUJUY,3,estatal
34,SALTA,9,estatal
35,TIERRA DEL FUEGO,3,privado
36,FORMOSA,5,estatal
37,FORMOSA,9,privado
38,JUJUY,4,privado
39,SAN LUIS,6,estatal
40,SANTA CRUZ,3,estatal
41,SAN LUIS,9,privado
42,LA RIOJA,6,estatal
43,SAN JUAN,3,estatal
44,SAN JUAN,7,privado
45,NEUQUÉN,1,estatal
46,MISIONES,18,privado
47,MISIONES,12,estatal
