,Provincia,Grupo Etario,Tasa de Mortalidad
0,BUENOS AIRES,0 a 14,0.5803581922704228
1,BUENOS AIRES,15 a 34,0.8490472786777717
2,BUENOS AIRES,35 a 54,2.8092933545044416
3,BUENOS AIRES,55 a 74,17.596123613683826
4,BUENOS AIRES,75 y mas,98.85816325955803
5,CABA,0 a 14,0.5044838173768582
6,CABA,15 a 34,0.5371773379448641
7,CABA,35 a 54,2.077308459940532
8,CABA,55 a 74,13.224503310183419
9,CABA,75 y mas,88.07298031492998
10,CATAMARCA,0 a 14,0.5343951380520774
11,CATAMARCA,15 a 34,0.9896580731357316
12,CATAMARCA,35 a 54,2.6975748801827155
13,CATAMARCA,55 a 74,16.93005839045443
14,CATAMARCA,75 y mas,98.47198641765705
15,CHACO,0 a 14,1.1729904291312174
16,CHACO,15 a 34,1.377911265676046
17,CHACO,35 a 54,4.081075449600874
18,CHACO,55 a 74,23.332974526850332
19,CHACO,75 y mas,117.67324116059754
20,CHUBUT,0 a 14,0.6567078555846586
21,CHUBUT,15 a 34,0.8859210533601324
22,CHUBUT,35 a 54,2.464829248499603
23,CHUBUT,55 a 74,15.572871311762777
24,CHUBUT,75 y mas,91.60606326119337
25,CORRIENTES,0 a 14,0.9774265901187317
26,CORRIENTES,15 a 34,0.9613827972254393
27,CORRIENTES,35 a 54,2.886236754173319
28,CORRIENTES,55 a 74,17.450758583976576
29,CORRIENTES,75 y mas,93.40338587273789
30,CÓRDOBA,0 a 14,0.6384746035878553
31,CÓRDOBA,15 a 34,0.812713548950753
32,CÓRDOBA,35 a 54,2.4343480473913246
33,CÓRDOBA,55 a 74,17.219636999988925
34,CÓRDOBA,75 y mas,106.14863534720786
35,ENTRE RÍOS,0 a 14,0.7943947506394877
36,ENTRE RÍOS,15 a 34,0.8844414120738888
37,ENTRE RÍOS,35 a 54,2.5908730857243443
38,ENTRE RÍOS,55 a 74,17.80378486055777
39,ENTRE RÍOS,75 y mas,103.18328302492088
40,FORMOSA,0 a 14,1.1901258786987086
41,FORMOSA,15 a 34,1.440922190201729
42,FORMOSA,35 a 54,3.9007018491959564
43,FORMOSA,55 a 74,18.877371050146216
44,FORMOSA,75 y mas,98.07748609349078
45,JUJUY,0 a 14,0.5910290237467019
46,JUJUY,15 a 34,1.090600793864889
47,JUJUY,35 a 54,2.882887967117206
48,JUJUY,55 a 74,15.329581717736678
49,JUJUY,75 y mas,85.24768993839837
50,LA PAMPA,0 a 14,0.47526075116888455
51,LA PAMPA,15 a 34,0.7291252390962635
52,LA PAMPA,35 a 54,2.0621376792534223
53,LA PAMPA,55 a 74,14.387320970413432
54,LA PAMPA,75 y mas,91.01852821103319
55,LA RIOJA,0 a 14,0.8026724270217311
56,LA RIOJA,15 a 34,1.0519464793848763
57,LA RIOJA,35 a 54,2.806143123429776
58,LA RIOJA,55 a 74,18.38140017030099
59,LA RIOJA,75 y mas,100.49743510026427
60,MENDOZA,0 a 14,0.5346522843072099
61,MENDOZA,15 a 34,0.7710312543026298
62,MENDOZA,35 a 54,2.2186585289904714
63,MENDOZA,55 a 74,15.643582471868996
64,MENDOZA,75 y mas,92.63209393346379
65,MISIONES,0 a 14,0.8446713847038225
66,MISIONES,15 a 34,1.1969136726013636
67,MISIONES,35 a 54,3.2979999867417087
68,MISIONES,55 a 74,20.203313296829265
69,MISIONES,75 y mas,111.1464293282475
70,NEUQUÉN,0 a 14,0.5011463723266973
71,NEUQUÉN,15 a 34,0.7731866076887115
72,NEUQUÉN,35 a 54,2.106638443113166
73,NEUQUÉN,55 a 74,13.954331279449075
74,NEUQUÉN,75 y mas,84.96380558428127
75,RÍO NEGRO,0 a 14,0.6189245276149562
76,RÍO NEGRO,15 a 34,0.945969728968673
77,RÍO NEGRO,35 a 54,2.481474929732492
78,RÍO NEGRO,55 a 74,14.474412055584425
79,RÍO NEGRO,75 y mas,88.67746165340164
80,SALTA,0 a 14,0.8019555589850714
81,SALTA,15 a 34,1.128125190384256
82,SALTA,35 a 54,2.929946099242314
83,SALTA,55 a 74,16.004546159012243
84,SALTA,75 y mas,90.52985369711348
85,SAN JUAN,0 a 14,0.6718371782838513
86,SAN JUAN,15 a 34,0.781529719303784
87,SAN JUAN,35 a 54,2.409758278886046
88,SAN JUAN,55 a 74,16.75278938880295
89,SAN JUAN,75 y mas,96.60294160308665
90,SAN LUIS,0 a 14,0.6304961008793761
91,SAN LUIS,15 a 34,0.8225292486799268
92,SAN LUIS,35 a 54,2.5165817142613407
93,SAN LUIS,55 a 74,15.96147148193075
94,SAN LUIS,75 y mas,93.59251259899209
95,SANTA CRUZ,0 a 14,0.3784133494464179
96,SANTA CRUZ,15 a 34,0.48203939745075314
97,SANTA CRUZ,35 a 54,1.3549991498044551
98,SANTA CRUZ,55 a 74,8.240093240093241
