,provincia,rango,sexo,cobertura,cantidad
0,Buenos Aires,0 a 14,femenino,False,810585
1,Buenos Aires,0 a 14,femenino,True,1093692
2,Buenos Aires,0 a 14,masculino,False,832483
3,Buenos Aires,0 a 14,masculino,True,1136815
4,Buenos Aires,15 a 34,femenino,False,1079869
5,Buenos Aires,15 a 34,femenino,True,1420884
6,Buenos Aires,15 a 34,masculino,False,1066117
7,Buenos Aires,15 a 34,masculino,True,1429164
8,Buenos Aires,35 a 54,femenino,False,628219
9,Buenos Aires,35 a 54,femenino,True,1252370
10,Buenos Aires,35 a 54,masculino,False,626962
11,Buenos Aires,35 a 54,masculino,True,1171060
12,Buenos Aires,55 a 74,femenino,False,191422
13,Buenos Aires,55 a 74,femenino,True,1071688
14,Buenos Aires,55 a 74,masculino,False,260646
15,Buenos Aires,55 a 74,masculino,True,818250
16,Buenos Aires,75 y mas,femenino,False,12443
17,Buenos Aires,75 y mas,femenino,True,456287
18,Buenos Aires,75 y mas,masculino,False,7635
19,Buenos Aires,75 y mas,masculino,True,252880
20,Caba,0 a 14,femenino,False,55023
21,Caba,0 a 14,femenino,True,176756
22,Caba,0 a 14,masculino,False,57678
23,Caba,0 a 14,masculino,True,182682
24,Caba,15 a 34,femenino,False,106316
25,Caba,15 a 34,femenino,True,350084
26,Caba,15 a 34,masculino,False,107182
27,Caba,15 a 34,masculino,True,328459
28,Caba,35 a 54,femenino,False,66679
29,Caba,35 a 54,femenino,True,325971
30,Caba,35 a 54,masculino,False,62598
31,Caba,35 a 54,masculino,True,283225
32,Caba,55 a 74,femenino,False,24659
33,Caba,55 a 74,femenino,True,292273
34,Caba,55 a 74,masculino,False,25759
35,Caba,55 a 74,masculino,True,205636
36,Caba,75 y mas,femenino,False,2727
37,Caba,75 y mas,femenino,True,161154
38,Caba,75 y mas,masculino,False,1196
39,Caba,75 y mas,masculino,True,76024
40,Catamarca,0 a 14,femenino,False,23828
41,Catamarca,0 a 14,femenino,True,29694
42,Catamarca,0 a 14,masculino,False,24257
43,Catamarca,0 a 14,masculino,True,29597
44,Catamarca,15 a 34,femenino,False,29721
45,Catamarca,15 a 34,femenino,True,31254
46,Catamarca,15 a 34,masculino,False,30398
47,Catamarca,15 a 34,masculino,True,31791
48,Catamarca,35 a 54,femenino,False,12600
49,Catamarca,35 a 54,femenino,True,27355
50,Catamarca,35 a 54,masculino,False,13408
51,Catamarca,35 a 54,masculino,True,26620
52,Catamarca,55 a 74,femenino,False,3548
53,Catamarca,55 a 74,femenino,True,19765
54,Catamarca,55 a 74,masculino,False,4780
55,Catamarca,55 a 74,masculino,True,16709
56,Catamarca,75 y mas,femenino,False,436
57,Catamarca,75 y mas,femenino,True,7208
58,Catamarca,75 y mas,masculino,False,378
59,Catamarca,75 y mas,masculino,True,4353
60,Chaco,0 a 14,femenino,False,107527
61,Chaco,0 a 14,femenino,True,50243
62,Chaco,0 a 14,masculino,False,110297
63,Chaco,0 a 14,masculino,True,52356
64,Chaco,15 a 34,femenino,False,120542
65,Chaco,15 a 34,femenino,True,63733
66,Chaco,15 a 34,masculino,False,119871
67,Chaco,15 a 34,masculino,True,59093
68,Chaco,35 a 54,femenino,False,54636
69,Chaco,35 a 54,femenino,True,58826
70,Chaco,35 a 54,masculino,False,59218
