,cobertura,provincia,varón,mujer,edad
0,True,Caba,8381,8741,0
1,True,Caba,8344,8506,1
2,True,Caba,9390,9536,2
3,True,Caba,10078,10590,3
4,True,Caba,11054,11344,4
5,True,Caba,11921,12379,5
6,True,Caba,12225,12803,6
7,True,Caba,12867,13338,7
8,True,Caba,12884,13113,8
9,True,Caba,12618,13386,9
10,True,Caba,12664,12984,10
11,True,Caba,13237,13775,11
12,True,Caba,13249,13714,12
13,True,Caba,13097,13385,13
14,True,Caba,12491,13206,14
15,True,Caba,12870,13322,15
16,True,Caba,13378,13340,16
17,True,Caba,13812,14019,17
18,True,Caba,15055,14840,18
19,True,Caba,15105,14416,19
20,True,Caba,15377,14588,20
21,True,Caba,15375,14010,21
22,True,Caba,15637,14337,22
23,True,Caba,15572,13921,23
24,True,Caba,15830,14180,24
25,True,Caba,16642,14811,25
26,True,Caba,16875,15109,26
27,True,Caba,17883,15792,27
28,True,Caba,17788,15877,28
29,True,Caba,19057,16616,29
30,True,Caba,20366,18036,30
31,True,Caba,20676,18343,31
32,True,Caba,20537,18435,32
33,True,Caba,21042,18742,33
34,True,Caba,20377,18490,34
35,True,Caba,21336,19268,35
36,True,Caba,20843,18750,36
37,True,Caba,20387,18513,37
38,True,Caba,20057,18217,38
39,True,Caba,19819,17872,39
40,True,Caba,21122,18548,40
41,True,Caba,19859,17596,41
42,True,Caba,20774,18302,42
43,True,Caba,20352,17607,43
44,True,Caba,20144,17382,44
45,True,Caba,20699,17683,45
46,True,Caba,20183,17120,46
47,True,Caba,19677,16649,47
48,True,Caba,18472,15530,48
49,True,Caba,18242,15287,49
50,True,Caba,18641,15714,50
51,True,Caba,17173,14324,51
52,True,Caba,16671,13927,52
53,True,Caba,16088,13454,53
54,True,Caba,16088,12835,54
55,True,Caba,15683,12875,55
56,True,Caba,15689,12676,56
57,True,Caba,15841,12564,57
58,True,Caba,15394,12154,58
59,True,Caba,16003,12779,59
60,True,Caba,16516,12657,60
61,True,Caba,15748,11936,61
62,True,Caba,16364,12211,62
63,True,Caba,16251,11822,63
64,True,Caba,16019,11440,64
65,True,Caba,16999,12081,65
66,True,Caba,16164,11422,66
67,True,Caba,15997,11261,67
68,True,Caba,15535,10888,68
69,True,Caba,16028,11168,69
70,True,Caba,16024,11008,70
71,True,Caba,15304,10582,71
72,True,Caba,15393,10363,72
73,True,Caba,14477,9902,73
74,True,Caba,14289,9448,74
75,True,Caba,14293,9027,75
76,True,Caba,13955,8650,76
77,True,Caba,13226,8157,77
78,True,Caba,12424,7389,78
79,True,Caba,11303,6746,79
80,True,Caba,10762,6057,80
81,True,Caba,9828,5598,81
82,True,Caba,9446,5077,82
83,True,Caba,8523,4447,83
84,True,Caba,7706,4045,84
85,True,Caba,7098,3541,85
86,True,Caba,6594,3161,86
87,True,Caba,6014,2846,87
88,True,Caba,5276,2360,88
89,True,Caba,5083,2058,89
90,True,Caba,4518,1789,90
91,True,Caba,3866,1531,91
