id_provincia,causa,rango,sexo,año,cantidad
2,Accidentes y causas externas,0 a 14,femenino,2005,19
2,Accidentes y causas externas,15 a 34,femenino,2005,78
2,Accidentes y causas externas,35 a 54,femenino,2005,69
2,Accidentes y causas externas,55 a 74,femenino,2005,115
2,Accidentes y causas externas,75 y mas,femenino,2005,163
2,Accidentes y causas externas,0 a 14,masculino,2005,30
2,Accidentes y causas externas,15 a 34,masculino,2005,254
2,Accidentes y causas externas,35 a 54,masculino,2005,172
2,Accidentes y causas externas,55 a 74,masculino,2005,202
2,Accidentes y causas externas,75 y mas,masculino,2005,135
2,Afecciones originadas en el periodo perinatal ,0 a 14,femenino,2005,65
2,Afecciones originadas en el periodo perinatal ,0 a 14,masculino,2005,101
2,"Embarazo, parto y puerperio ",15 a 34,femenino,2005,2
2,"Embarazo, parto y puerperio ",35 a 54,femenino,2005,1
2,Enfermedades de la piel y del tejido subcutáneo ,55 a 74,femenino,2005,1
2,Enfermedades de la piel y del tejido subcutáneo ,75 y mas,femenino,2005,25
2,Enfermedades de la piel y del tejido subcutáneo ,55 a 74,masculino,2005,1
2,Enfermedades de la piel y del tejido subcutáneo ,75 y mas,masculino,2005,3
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",0 a 14,femenino,2005,1
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",15 a 34,femenino,2005,2
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",35 a 54,femenino,2005,6
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",55 a 74,femenino,2005,7
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",75 y mas,femenino,2005,53
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",0 a 14,masculino,2005,1
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",15 a 34,masculino,2005,2
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",35 a 54,masculino,2005,3
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",55 a 74,masculino,2005,14
2,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",75 y mas,masculino,2005,35
2,Enfermedades del aparato circulatorio,0 a 14,femenino,2005,1
2,Enfermedades del aparato circulatorio,15 a 34,femenino,2005,19
2,Enfermedades del aparato circulatorio,35 a 54,femenino,2005,111
2,Enfermedades del aparato circulatorio,55 a 74,femenino,2005,907
2,Enfermedades del aparato circulatorio,75 y mas,femenino,2005,5317
2,Enfermedades del aparato circulatorio,0 a 14,masculino,2005,5
2,Enfermedades del aparato circulatorio,15 a 34,masculino,2005,43
2,Enfermedades del aparato circulatorio,35 a 54,masculino,2005,355
2,Enfermedades del aparato circulatorio,55 a 74,masculino,2005,1641
2,Enfermedades del aparato circulatorio,75 y mas,masculino,2005,2707
2,Enfermedades del aparato digestivo,0 a 14,femenino,2005,3
2,Enfermedades del aparato digestivo,15 a 34,femenino,2005,4
2,Enfermedades del aparato digestivo,35 a 54,femenino,2005,33
2,Enfermedades del aparato digestivo,55 a 74,femenino,2005,125
2,Enfermedades del aparato digestivo,75 y mas,femenino,2005,392
2,Enfermedades del aparato digestivo,0 a 14,masculino,2005,2
2,Enfermedades del aparato digestivo,15 a 34,masculino,2005,11
2,Enfermedades del aparato digestivo,35 a 54,masculino,2005,84
2,Enfermedades del aparato digestivo,55 a 74,masculino,2005,186
2,Enfermedades del aparato digestivo,75 y mas,masculino,2005,267
2,Enfermedades del aparato respiratorio,0 a 14,femenino,2005,37
2,Enfermedades del aparato respiratorio,15 a 34,femenino,2005,26
2,Enfermedades del aparato respiratorio,35 a 54,femenino,2005,108
2,Enfermedades del aparato respiratorio,55 a 74,femenino,2005,601
2,Enfermedades del aparato respiratorio,75 y mas,femenino,2005,3679
2,Enfermedades del aparato respiratorio,0 a 14,masculino,2005,43
2,Enfermedades del aparato respiratorio,15 a 34,masculino,2005,48
2,Enfermedades del aparato respiratorio,35 a 54,masculino,2005,168
2,Enfermedades del aparato respiratorio,55 a 74,masculino,2005,887
2,Enfermedades del aparato respiratorio,75 y mas,masculino,2005,2142
2,Enfermedades del sistema genitourinario ,0 a 14,femenino,2005,1
2,Enfermedades del sistema genitourinario ,15 a 34,femenino,2005,4
2,Enfermedades del sistema genitourinario ,35 a 54,femenino,2005,12
2,Enfermedades del sistema genitourinario ,55 a 74,femenino,2005,116
2,Enfermedades del sistema genitourinario ,75 y mas,femenino,2005,634
2,Enfermedades del sistema genitourinario ,0 a 14,masculino,2005,2
2,Enfermedades del sistema genitourinario ,15 a 34,masculino,2005,3
2,Enfermedades del sistema genitourinario ,35 a 54,masculino,2005,25
2,Enfermedades del sistema genitourinario ,55 a 74,masculino,2005,163
2,Enfermedades del sistema genitourinario ,75 y mas,masculino,2005,475
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,0 a 14,femenino,2005,11
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,15 a 34,femenino,2005,6
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,35 a 54,femenino,2005,14
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,55 a 74,femenino,2005,44
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,75 y mas,femenino,2005,107
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,0 a 14,masculino,2005,11
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,15 a 34,masculino,2005,11
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,35 a 54,masculino,2005,16
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,55 a 74,masculino,2005,53
2,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,75 y mas,masculino,2005,67
2,Enfermedades del sistema osteomuscular y del tejido conjuntivo,15 a 34,femenino,2005,3
2,Enfermedades del sistema osteomuscular y del tejido conjuntivo,35 a 54,femenino,2005,7
2,Enfermedades del sistema osteomuscular y del tejido conjuntivo,55 a 74,femenino,2005,4
2,Enfermedades del sistema osteomuscular y del tejido conjuntivo,75 y mas,femenino,2005,12
2,Enfermedades del sistema osteomuscular y del tejido conjuntivo,35 a 54,masculino,2005,1
2,Enfermedades del sistema osteomuscular y del tejido conjuntivo,55 a 74,masculino,2005,6
2,Enfermedades del sistema osteomuscular y del tejido conjuntivo,75 y mas,masculino,2005,3
2,"Enfermedades endocrinas, nutricionales y metabólicas ",0 a 14,femenino,2005,1
2,"Enfermedades endocrinas, nutricionales y metabólicas ",15 a 34,femenino,2005,3
2,"Enfermedades endocrinas, nutricionales y metabólicas ",35 a 54,femenino,2005,9
2,"Enfermedades endocrinas, nutricionales y metabólicas ",55 a 74,femenino,2005,71
2,"Enfermedades endocrinas, nutricionales y metabólicas ",75 y mas,femenino,2005,292
2,"Enfermedades endocrinas, nutricionales y metabólicas ",0 a 14,masculino,2005,5
2,"Enfermedades endocrinas, nutricionales y metabólicas ",15 a 34,masculino,2005,3
2,"Enfermedades endocrinas, nutricionales y metabólicas ",35 a 54,masculino,2005,13
2,"Enfermedades endocrinas, nutricionales y metabólicas ",55 a 74,masculino,2005,76
2,"Enfermedades endocrinas, nutricionales y metabólicas ",75 y mas,masculino,2005,115
2,Enfermedades infecciosas y parasitarias ,0 a 14,femenino,2005,6
2,Enfermedades infecciosas y parasitarias ,15 a 34,femenino,2005,32
2,Enfermedades infecciosas y parasitarias ,35 a 54,femenino,2005,56
2,Enfermedades infecciosas y parasitarias ,55 a 74,femenino,2005,168
2,Enfermedades infecciosas y parasitarias ,75 y mas,femenino,2005,852
2,Enfermedades infecciosas y parasitarias ,0 a 14,masculino,2005,11
2,Enfermedades infecciosas y parasitarias ,15 a 34,masculino,2005,44
2,Enfermedades infecciosas y parasitarias ,35 a 54,masculino,2005,138
2,Enfermedades infecciosas y parasitarias ,55 a 74,masculino,2005,276
2,Enfermedades infecciosas y parasitarias ,75 y mas,masculino,2005,418
2,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",0 a 14,femenino,2005,50
2,"Malformaciones congénitas, deformidades y anomalías cromosómicas ",15 a 34,femenino,2005,4
