,establecimiento_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre,origen_financiamiento,tiene_terapia
0,50380842150137,38,JUJUY,84,SUSQUES,estatal,False
1,50380632150075,38,JUJUY,63,SAN PEDRO,estatal,False
2,50260212329179,26,CHUBUT,21,ESCALANTE,privado,False
3,51260352329290,26,CHUBUT,35,FUTALEUFÚ,privado,False
4,51260352329289,26,CHUBUT,35,FUTALEUFÚ,privado,False
5,51260352329293,26,CHUBUT,35,FUTALEUFÚ,privado,False
6,51260212329299,26,CHUBUT,21,ESCALANTE,privado,False
7,51260212329297,26,CHUBUT,21,ESCALANTE,privado,False
8,51260212329298,26,CHUBUT,21,ESCALANTE,privado,False
9,52260212329318,26,CHUBUT,21,ESCALANTE,privado,False
10,50260212329186,26,CHUBUT,21,ESCALANTE,privado,False
11,50260212329187,26,CHUBUT,21,ESCALANTE,privado,False
12,50541122265191,54,MISIONES,112,SAN PEDRO,estatal,False
13,50260212329190,26,CHUBUT,21,ESCALANTE,privado,False
14,50260212329192,26,CHUBUT,21,ESCALANTE,privado,False
15,50261052129207,26,CHUBUT,105,TELSEN,estatal,False
16,50260142129210,26,CHUBUT,14,CUSHAMEN,estatal,False
17,50260142129229,26,CHUBUT,14,CUSHAMEN,estatal,False
18,50260142129220,26,CHUBUT,14,CUSHAMEN,estatal,False
19,50260142129223,26,CHUBUT,14,CUSHAMEN,estatal,False
20,50020012315826,2,CABA,1,COMUNA 1,privado,False
21,50020012315856,2,CABA,3,COMUNA 3,privado,False
22,50861822192547,86,SANTIAGO DEL ESTERO,182,SARMIENTO,estatal,False
23,51421052353340,42,LA PAMPA,105,MARACÓ,privado,False
24,53060702303264,6,BUENOS AIRES,70,BARADERO,privado,False
25,53900842396826,90,TUCUMÁN,84,CAPITAL,privado,False
26,50900212396556,90,TUCUMÁN,21,CHICLIGASTA,privado,False
27,50221402126128,22,CHACO,140,SAN FERNANDO,estatal,False
28,50221402126478,22,CHACO,140,SAN FERNANDO,estatal,False
29,50221402126172,22,CHACO,140,SAN FERNANDO,estatal,False
30,50221402126140,22,CHACO,140,SAN FERNANDO,estatal,False
31,50221402126141,22,CHACO,140,SAN FERNANDO,estatal,False
32,50220362126139,22,CHACO,36,12 DE OCTUBRE,estatal,False
